Info 0    [19:56:2.390] Starting TS Server
Info 1    [19:56:2.390] Version: 3.7.2
Info 2    [19:56:2.390] Arguments: /usr/bin/node /usr/bin/tsserver --logFile /home/eliraz/workspace/test/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/4b611f960cf4d72a5e02f3067d9890f5/tscancellation*
Info 3    [19:56:2.390] Platform: linux NodeVersion: 14 CaseSensitive: true
Info 4    [19:56:2.399] Search path: /home/eliraz/workspace/test
Info 5    [19:56:2.400] For info: /home/eliraz/workspace/test/release.config.js :: No config files found.
Info 6    [19:56:2.407] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [19:56:10.15] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 7608ms
Info 8    [19:56:10.15] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [19:56:10.15] 	Files (133)

Info 10   [19:56:10.15] -----------------------------------------------
Info 11   [19:56:10.51] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [19:56:10.97] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 46ms
Info 13   [19:56:10.97] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [19:56:10.98] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [19:56:10.128] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 29ms
Info 16   [19:56:10.128] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 17   [19:56:10.129] getCompletionData: Get current token: 0
Info 18   [19:56:10.129] getCompletionData: Is inside comment: 0
Info 19   [19:56:10.129] getCompletionData: Get previous token 1: 0
Info 20   [19:56:10.129] getCompletionData: Get previous token 2: 0
Info 21   [19:56:10.134] getCompletionData: Semantic work: 5
Info 22   [19:56:10.142] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8
Info 23   [19:56:10.154] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [19:56:10.183] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 29ms
Info 25   [19:56:10.183] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 26   [19:56:10.183] getCompletionData: Get current token: 0
Info 27   [19:56:10.183] getCompletionData: Is inside comment: 0
Info 28   [19:56:10.183] getCompletionData: Get previous token 1: 0
Info 29   [19:56:10.183] getCompletionData: Get previous token 2: 0
Info 30   [19:56:10.183] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 31   [19:56:10.187] getCompletionData: Semantic work: 4
